0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:43:58 +0800] "GET /o2o/frontend/shopdetail?shopId=3 HTTP/1.1" 200 5502
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:43:58 +0800] "GET /o2o/resources/css/frontend/shopdetail/shopdetail.css HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:43:58 +0800] "GET /o2o/resources/js/common/common.js HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:43:58 +0800] "GET /o2o/resources/js/frontend/shopdetail.js HTTP/1.1" 200 5433
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:43:59 +0800] "GET /o2o/frontend/listshopdetailpageinfo?shopId=3 HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:43:59 +0800] "GET /o2o/frontend/listproductsbyshop?pageIndex=1&pageSize=10&productCategoryId=&productName=&shopId=3 HTTP/1.1" 200 1052
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:43:59 +0800] "GET /upload/item/shop/3/2019052918182917128.jpg HTTP/1.1" 200 8742
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:43:59 +0800] "GET /upload/item/shop/3/2019060115265239592.jpg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:43:59 +0800] "GET /upload/item/shop/9/2017060420464594520.png HTTP/1.1" 200 93433
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:43:59 +0800] "GET /upload/item/shop/13/2017060523302118864.jpg HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:44:00 +0800] "GET /o2o/frontend/shoplist?parentId=9 HTTP/1.1" 200 5067
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:44:00 +0800] "GET /o2o/resources/js/common/common.js HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:44:00 +0800] "GET /o2o/resources/css/frontend/shoplist/shoplist.css HTTP/1.1" 200 450
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:44:00 +0800] "GET /o2o/resources/js/frontend/shoplist.js HTTP/1.1" 200 6888
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:44:01 +0800] "GET /o2o/frontend/listshops?pageIndex=1&pageSize=10&parentId=9&areaId=&shopCategoryId=&shopName= HTTP/1.1" 200 1313
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:44:01 +0800] "GET /upload/item/shop/9/2017060420464594520.png HTTP/1.1" 200 93433
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:44:01 +0800] "GET /o2o/frontend/listshopspageinfo?parentId=9 HTTP/1.1" 200 939
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:44:02 +0800] "GET /o2o/frontend/shopdetail?shopId=2 HTTP/1.1" 200 5502
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:44:03 +0800] "GET /o2o/resources/js/common/common.js HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:44:03 +0800] "GET /o2o/resources/css/frontend/shopdetail/shopdetail.css HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:44:03 +0800] "GET /o2o/resources/js/frontend/shopdetail.js HTTP/1.1" 200 5433
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:44:03 +0800] "GET /o2o/frontend/listshopdetailpageinfo?shopId=2 HTTP/1.1" 200 1040
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:44:03 +0800] "GET /o2o/frontend/listproductsbyshop?pageIndex=1&pageSize=10&productCategoryId=&productName=&shopId=2 HTTP/1.1" 200 1377
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:44:03 +0800] "GET /upload/item/shop/13/2017060523302118864.jpg HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:44:03 +0800] "GET /upload/item/shop/2/2019052710421017729.jpg HTTP/1.1" 200 9353
